song_id	line_idx	text	gold_start	gold_end
tuki-zero	0	再会が痛いくらい 嫌いな次第	10.286	14.830826
tuki-zero	5	張り付いた涙が凍る	34.796579	39.595397
tuki-zero	10	絶対零度溶かすような	59.989939	62.1719
tuki-zero	15	嫌ってしまった自分にも熱はあったろう	79.772	84.381147
tuki-zero	17	不安が肥大 ひどく震えて 痛い	92.213	97.108899
tuki-zero	20	最低な気分 跳ねのけていたい	107.165106	111.854892
tuki-zero	24	君に会って確かめたい	126.458928	131.901
tuki-zero	25	全開衝動 青くなった熱を僕ら	132.151	137.006387
tuki-zero	29	もっと近くで触れ合って伝えてみたい	147.058	152.051
tuki-zero	30	かじかんだ心なら	161.679	166.381663
tuki-zero	31	すり合わせて暖めよう	166.554604	171.582248
tuki-zero	33	手をあてて塞ぐから	177.494956	182.384176
tuki-zero	34	絶対零度溶かすような熱を僕ら	184.356161	188.956
tuki-zero	35	ぶつけ合って 火花を散らしている	189.313717	193.717
tuki-zero	36	絶対零度溶かすような	194.286488	196.446324
tuki-zero	40	痛みは炎みたい 強く抱いて	209.076	213.756448
tuki-zero	41	嫌ってしまった自分にも熱はあったろう	214.08	218.66
